firstname1,lastname1,4301710@students.swinburne.edu.my,4301710,password,LOCAL,HRM20016,NA,NA,NA,NA
firstname2,lastname2,4301711@students.swinburne.edu.my,4301711,password,LOCAL,HRM20016,NA,NA,NA,NA
firstname3,lastname3,4301712@students.swinburne.edu.my,4301712,password,LOCAL,HRM20016,NA,NA,NA,NA
firstname4,lastname4,4301713@students.swinburne.edu.my,4301713,password,LOCAL,HRM20016,NA,NA,NA,NA
firstname5,lastname5,4301714@students.swinburne.edu.my,4301714,password,LOCAL,HRM20016,NA,NA,NA,NA
firstname6,lastname6,4301715@students.swinburne.edu.my,4301715,password,LOCAL,HRM20016,NA,NA,NA,NA
firstname7,lastname7,4301716@students.swinburne.edu.my,4301716,password,LOCAL,HRM20016,NA,NA,NA,NA
firstname8,lastname8,4301717@students.swinburne.edu.my,4301717,password,LOCAL,HRM20016,NA,NA,NA,NA
firstname9,lastname9,4301718@students.swinburne.edu.my,4301718,password,LOCAL,HRM20016,NA,NA,NA,NA
firstname10,lastname10,4301719@students.swinburne.edu.my,4301719,password,LOCAL,HRM20016,NA,NA,NA,NA
firstname11,lastname11,4301720@students.swinburne.edu.my,4301720,password,LOCAL,HRM20016,NA,NA,NA,NA
firstname12,lastname12,4301721@students.swinburne.edu.my,4301721,password,LOCAL,HRM20016,NA,NA,NA,NA
firstname13,lastname13,4301722@students.swinburne.edu.my,4301722,password,LOCAL,HRM20016,NA,NA,NA,NA
firstname14,lastname14,4301723@students.swinburne.edu.my,4301723,password,LOCAL,HRM20016,NA,NA,NA,NA
firstname15,lastname15,4301724@students.swinburne.edu.my,4301724,password,LOCAL,HRM20016,NA,NA,NA,NA
firstname16,lastname16,4301725@students.swinburne.edu.my,4301725,password,LOCAL,HRM20016,NA,NA,NA,NA
firstname17,lastname17,4301726@students.swinburne.edu.my,4301726,password,LOCAL,HRM20016,NA,NA,NA,NA
